Subject,Social condition,Emotional condition,Avg. amplitude
13a,224,Angry,-0.9817181647925756
13a,224,Happy,0.3154224473081297
13a,224,Neutral,-1.478033468920404
13b,224,Angry,-0.9817181647925756
13b,224,Happy,0.3154224473081297
13b,224,Neutral,-1.478033468920404
13a,225,Angry,-0.8060086650794027
13a,225,Happy,0.9496020284034226
13a,225,Neutral,0.555817357951059
13b,225,Angry,2.0212442664844135
13b,225,Happy,1.4426957532228903
13b,225,Neutral,1.7399749791391275
13a,231,Angry,-0.4464135717288944
13a,231,Happy,1.1942543177706042
13a,231,Neutral,0.25824240120273934
13b,231,Angry,1.5993389584316944
13b,231,Happy,1.2238147587583144
13b,231,Neutral,2.0728165901254973
14a,224,Angry,-0.9817181647925756
14a,224,Happy,0.3154224473081297
14a,224,Neutral,-1.478033468920404
14b,224,Angry,-0.9817181647925756
14b,224,Happy,0.3154224473081297
14b,224,Neutral,-1.478033468920404
14a,225,Angry,-0.8060086650794027
14a,225,Happy,0.9496020284034226
14a,225,Neutral,0.555817357951059
14b,225,Angry,2.0212442664844135
14b,225,Happy,1.4426957532228903
14b,225,Neutral,1.7399749791391275
14a,231,Angry,-0.4464135717288944
14a,231,Happy,1.1942543177706042
14a,231,Neutral,0.25824240120273934
14b,231,Angry,1.5993389584316944
14b,231,Happy,1.2238147587583144
14b,231,Neutral,2.0728165901254973
14a,224,Angry,-0.29172109625221265
14a,224,Happy,-0.5885861341431798
14a,224,Neutral,-0.43399273460091536
14b,224,Angry,-0.29172109625221265
14b,224,Happy,-0.5885861341431798
14b,224,Neutral,-0.43399273460091536
14a,225,Angry,-0.5698510265912144
14a,225,Happy,-0.9532287461160895
14a,225,Neutral,-1.6901888203640683
14b,225,Angry,4.104390234087595
14b,225,Happy,4.385372437817789
14b,225,Neutral,2.2320349651756866
14a,231,Angry,-0.8898365763373062
14a,231,Happy,-0.1511689150603603
14a,231,Neutral,-0.22320642596148638
14b,231,Angry,2.8955695321747976
14b,231,Happy,3.5015374889640283
14b,231,Neutral,2.884456960855829
15a,224,Angry,-0.9817181647925756
15a,224,Happy,0.3154224473081297
15a,224,Neutral,-1.478033468920404
15b,224,Angry,-0.9817181647925756
15b,224,Happy,0.3154224473081297
15b,224,Neutral,-1.478033468920404
15a,225,Angry,-0.8060086650794027
15a,225,Happy,0.9496020284034226
15a,225,Neutral,0.555817357951059
15b,225,Angry,2.0212442664844135
15b,225,Happy,1.4426957532228903
15b,225,Neutral,1.7399749791391275
15a,231,Angry,-0.4464135717288944
15a,231,Happy,1.1942543177706042
15a,231,Neutral,0.25824240120273934
15b,231,Angry,1.5993389584316944
15b,231,Happy,1.2238147587583144
15b,231,Neutral,2.0728165901254973
15a,224,Angry,-0.29172109625221265
15a,224,Happy,-0.5885861341431798
15a,224,Neutral,-0.43399273460091536
15b,224,Angry,-0.29172109625221265
15b,224,Happy,-0.5885861341431798
15b,224,Neutral,-0.43399273460091536
15a,225,Angry,-0.5698510265912144
15a,225,Happy,-0.9532287461160895
15a,225,Neutral,-1.6901888203640683
15b,225,Angry,4.104390234087595
15b,225,Happy,4.385372437817789
15b,225,Neutral,2.2320349651756866
15a,231,Angry,-0.8898365763373062
15a,231,Happy,-0.1511689150603603
15a,231,Neutral,-0.22320642596148638
15b,231,Angry,2.8955695321747976
15b,231,Happy,3.5015374889640283
15b,231,Neutral,2.884456960855829
15a,224,Angry,-2.9331696226867856
15a,224,Happy,-2.0076053841305717
15a,224,Neutral,-3.1341172124356973
15b,224,Angry,-2.9331696226867856
15b,224,Happy,-2.0076053841305717
15b,224,Neutral,-3.1341172124356973
15a,225,Angry,-2.8858230102376528
15a,225,Happy,-0.47450717606046927
15a,225,Neutral,-0.2629683626649612
15b,225,Angry,-0.0644445446407538
15b,225,Happy,-0.5374410151991025
15b,225,Neutral,0.1593048064358399
15a,231,Angry,-2.2533300306499986
15a,231,Happy,0.05113062131938669
15a,231,Neutral,0.9281282802516473
15b,231,Angry,-1.9794997541518407
15b,231,Happy,-1.2725552778123124
15b,231,Neutral,0.07630049958802695
16a,224,Angry,-0.9817181647925756
16a,224,Happy,0.3154224473081297
16a,224,Neutral,-1.478033468920404
16b,224,Angry,-0.9817181647925756
16b,224,Happy,0.3154224473081297
16b,224,Neutral,-1.478033468920404
16a,225,Angry,-0.8060086650794027
16a,225,Happy,0.9496020284034226
16a,225,Neutral,0.555817357951059
16b,225,Angry,2.0212442664844135
16b,225,Happy,1.4426957532228903
16b,225,Neutral,1.7399749791391275
16a,231,Angry,-0.4464135717288944
16a,231,Happy,1.1942543177706042
16a,231,Neutral,0.25824240120273934
16b,231,Angry,1.5993389584316944
16b,231,Happy,1.2238147587583144
16b,231,Neutral,2.0728165901254973
16a,224,Angry,-0.29172109625221265
16a,224,Happy,-0.5885861341431798
16a,224,Neutral,-0.43399273460091536
16b,224,Angry,-0.29172109625221265
16b,224,Happy,-0.5885861341431798
16b,224,Neutral,-0.43399273460091536
16a,225,Angry,-0.5698510265912144
16a,225,Happy,-0.9532287461160895
16a,225,Neutral,-1.6901888203640683
16b,225,Angry,4.104390234087595
16b,225,Happy,4.385372437817789
16b,225,Neutral,2.2320349651756866
16a,231,Angry,-0.8898365763373062
16a,231,Happy,-0.1511689150603603
16a,231,Neutral,-0.22320642596148638
16b,231,Angry,2.8955695321747976
16b,231,Happy,3.5015374889640283
16b,231,Neutral,2.884456960855829
16a,224,Angry,-2.9331696226867856
16a,224,Happy,-2.0076053841305717
16a,224,Neutral,-3.1341172124356973
16b,224,Angry,-2.9331696226867856
16b,224,Happy,-2.0076053841305717
16b,224,Neutral,-3.1341172124356973
16a,225,Angry,-2.8858230102376528
16a,225,Happy,-0.47450717606046927
16a,225,Neutral,-0.2629683626649612
16b,225,Angry,-0.0644445446407538
16b,225,Happy,-0.5374410151991025
16b,225,Neutral,0.1593048064358399
16a,231,Angry,-2.2533300306499986
16a,231,Happy,0.05113062131938669
16a,231,Neutral,0.9281282802516473
16b,231,Angry,-1.9794997541518407
16b,231,Happy,-1.2725552778123124
16b,231,Neutral,0.07630049958802695
16a,224,Angry,-1.9939258560323811
16a,224,Happy,-1.4174030658928205
16a,224,Neutral,-0.628482040064852
16b,224,Angry,-1.9939258560323811
16b,224,Happy,-1.4174030658928205
16b,224,Neutral,-0.628482040064852
16a,225,Angry,-1.6280023605329903
16a,225,Happy,-1.393293398992413
16a,225,Neutral,-0.7130805260290907
16b,225,Angry,-0.10353845642542679
16b,225,Happy,2.279265136798754
16b,225,Neutral,1.3407361761627326
16a,231,Angry,0.3912458461767841
16a,231,Happy,-0.00035828279745655643
16a,231,Neutral,-0.3397744678421445
16b,231,Angry,-0.605708436294508
16b,231,Happy,-0.517945097784382
16b,231,Neutral,0.3803300589439132
17a,224,Angry,-0.9817181647925756
17a,224,Happy,0.3154224473081297
17a,224,Neutral,-1.478033468920404
17b,224,Angry,-0.9817181647925756
17b,224,Happy,0.3154224473081297
17b,224,Neutral,-1.478033468920404
17a,225,Angry,-0.8060086650794027
17a,225,Happy,0.9496020284034226
17a,225,Neutral,0.555817357951059
17b,225,Angry,2.0212442664844135
17b,225,Happy,1.4426957532228903
17b,225,Neutral,1.7399749791391275
17a,231,Angry,-0.4464135717288944
17a,231,Happy,1.1942543177706042
17a,231,Neutral,0.25824240120273934
17b,231,Angry,1.5993389584316944
17b,231,Happy,1.2238147587583144
17b,231,Neutral,2.0728165901254973
17a,224,Angry,-0.29172109625221265
17a,224,Happy,-0.5885861341431798
17a,224,Neutral,-0.43399273460091536
17b,224,Angry,-0.29172109625221265
17b,224,Happy,-0.5885861341431798
17b,224,Neutral,-0.43399273460091536
17a,225,Angry,-0.5698510265912144
17a,225,Happy,-0.9532287461160895
17a,225,Neutral,-1.6901888203640683
17b,225,Angry,4.104390234087595
17b,225,Happy,4.385372437817789
17b,225,Neutral,2.2320349651756866
17a,231,Angry,-0.8898365763373062
17a,231,Happy,-0.1511689150603603
17a,231,Neutral,-0.22320642596148638
17b,231,Angry,2.8955695321747976
17b,231,Happy,3.5015374889640283
17b,231,Neutral,2.884456960855829
17a,224,Angry,-2.9331696226867856
17a,224,Happy,-2.0076053841305717
17a,224,Neutral,-3.1341172124356973
17b,224,Angry,-2.9331696226867856
17b,224,Happy,-2.0076053841305717
17b,224,Neutral,-3.1341172124356973
17a,225,Angry,-2.8858230102376528
17a,225,Happy,-0.47450717606046927
17a,225,Neutral,-0.2629683626649612
17b,225,Angry,-0.0644445446407538
17b,225,Happy,-0.5374410151991025
17b,225,Neutral,0.1593048064358399
17a,231,Angry,-2.2533300306499986
17a,231,Happy,0.05113062131938669
17a,231,Neutral,0.9281282802516473
17b,231,Angry,-1.9794997541518407
17b,231,Happy,-1.2725552778123124
17b,231,Neutral,0.07630049958802695
17a,224,Angry,-1.9939258560323811
17a,224,Happy,-1.4174030658928205
17a,224,Neutral,-0.628482040064852
17b,224,Angry,-1.9939258560323811
17b,224,Happy,-1.4174030658928205
17b,224,Neutral,-0.628482040064852
17a,225,Angry,-1.6280023605329903
17a,225,Happy,-1.393293398992413
17a,225,Neutral,-0.7130805260290907
17b,225,Angry,-0.10353845642542679
17b,225,Happy,2.279265136798754
17b,225,Neutral,1.3407361761627326
17a,231,Angry,0.3912458461767841
17a,231,Happy,-0.00035828279745655643
17a,231,Neutral,-0.3397744678421445
17b,231,Angry,-0.605708436294508
17b,231,Happy,-0.517945097784382
17b,231,Neutral,0.3803300589439132
17a,224,Angry,-2.6981434544589433
17a,224,Happy,-3.0223029493429823
17a,224,Neutral,-0.6884488649376465
17b,224,Angry,-2.6981434544589433
17b,224,Happy,-3.0223029493429823
17b,224,Neutral,-0.6884488649376465
17a,225,Angry,-2.0958146233517208
17a,225,Happy,-0.8837433083269062
17a,225,Neutral,-4.73691277349883
17b,225,Angry,-1.3035794906720788
17b,225,Happy,1.2013584367666719
17b,225,Neutral,-0.8954619052409857
17a,231,Angry,-1.258499367218615
17a,231,Happy,-0.10116711708340911
17a,231,Neutral,-0.49607912180209085
17b,231,Angry,-2.5592159011273496
17b,231,Happy,-1.1368661475888606
17b,231,Neutral,-2.2113380270581904
18a,224,Angry,-0.9817181647925756
18a,224,Happy,0.3154224473081297
18a,224,Neutral,-1.478033468920404
18b,224,Angry,-0.9817181647925756
18b,224,Happy,0.3154224473081297
18b,224,Neutral,-1.478033468920404
18a,225,Angry,-0.8060086650794027
18a,225,Happy,0.9496020284034226
18a,225,Neutral,0.555817357951059
18b,225,Angry,2.0212442664844135
18b,225,Happy,1.4426957532228903
18b,225,Neutral,1.7399749791391275
18a,231,Angry,-0.4464135717288944
18a,231,Happy,1.1942543177706042
18a,231,Neutral,0.25824240120273934
18b,231,Angry,1.5993389584316944
18b,231,Happy,1.2238147587583144
18b,231,Neutral,2.0728165901254973
18a,224,Angry,-0.29172109625221265
18a,224,Happy,-0.5885861341431798
18a,224,Neutral,-0.43399273460091536
18b,224,Angry,-0.29172109625221265
18b,224,Happy,-0.5885861341431798
18b,224,Neutral,-0.43399273460091536
18a,225,Angry,-0.5698510265912144
18a,225,Happy,-0.9532287461160895
18a,225,Neutral,-1.6901888203640683
18b,225,Angry,4.104390234087595
18b,225,Happy,4.385372437817789
18b,225,Neutral,2.2320349651756866
18a,231,Angry,-0.8898365763373062
18a,231,Happy,-0.1511689150603603
18a,231,Neutral,-0.22320642596148638
18b,231,Angry,2.8955695321747976
18b,231,Happy,3.5015374889640283
18b,231,Neutral,2.884456960855829
18a,224,Angry,-2.9331696226867856
18a,224,Happy,-2.0076053841305717
18a,224,Neutral,-3.1341172124356973
18b,224,Angry,-2.9331696226867856
18b,224,Happy,-2.0076053841305717
18b,224,Neutral,-3.1341172124356973
18a,225,Angry,-2.8858230102376528
18a,225,Happy,-0.47450717606046927
18a,225,Neutral,-0.2629683626649612
18b,225,Angry,-0.0644445446407538
18b,225,Happy,-0.5374410151991025
18b,225,Neutral,0.1593048064358399
18a,231,Angry,-2.2533300306499986
18a,231,Happy,0.05113062131938669
18a,231,Neutral,0.9281282802516473
18b,231,Angry,-1.9794997541518407
18b,231,Happy,-1.2725552778123124
18b,231,Neutral,0.07630049958802695
18a,224,Angry,-1.9939258560323811
18a,224,Happy,-1.4174030658928205
18a,224,Neutral,-0.628482040064852
18b,224,Angry,-1.9939258560323811
18b,224,Happy,-1.4174030658928205
18b,224,Neutral,-0.628482040064852
18a,225,Angry,-1.6280023605329903
18a,225,Happy,-1.393293398992413
18a,225,Neutral,-0.7130805260290907
18b,225,Angry,-0.10353845642542679
18b,225,Happy,2.279265136798754
18b,225,Neutral,1.3407361761627326
18a,231,Angry,0.3912458461767841
18a,231,Happy,-0.00035828279745655643
18a,231,Neutral,-0.3397744678421445
18b,231,Angry,-0.605708436294508
18b,231,Happy,-0.517945097784382
18b,231,Neutral,0.3803300589439132
18a,224,Angry,-2.6981434544589433
18a,224,Happy,-3.0223029493429823
18a,224,Neutral,-0.6884488649376465
18b,224,Angry,-2.6981434544589433
18b,224,Happy,-3.0223029493429823
18b,224,Neutral,-0.6884488649376465
18a,225,Angry,-2.0958146233517208
18a,225,Happy,-0.8837433083269062
18a,225,Neutral,-4.73691277349883
18b,225,Angry,-1.3035794906720788
18b,225,Happy,1.2013584367666719
18b,225,Neutral,-0.8954619052409857
18a,231,Angry,-1.258499367218615
18a,231,Happy,-0.10116711708340911
18a,231,Neutral,-0.49607912180209085
18b,231,Angry,-2.5592159011273496
18b,231,Happy,-1.1368661475888606
18b,231,Neutral,-2.2113380270581904
18a,224,Angry,
18a,224,Happy,-8.952797870607457
18a,224,Neutral,-8.257906757244179
18b,224,Angry,
18b,224,Happy,-8.952797870607457
18b,224,Neutral,-8.257906757244179
18a,225,Angry,-17.72305549568248
18a,225,Happy,-7.522778473193863
18a,225,Neutral,-5.581612217871641
18b,225,Angry,-1.3499500592796787
18b,225,Happy,-2.079444348652457
18b,225,Neutral,-3.7550575260224823
18a,231,Angry,-12.875132542452171
18a,231,Happy,-6.545916329461878
18a,231,Neutral,-8.150423214105095
18b,231,Angry,-3.4451000683286734
18b,231,Happy,-4.044187012920954
18b,231,Neutral,-3.306835604563238
